B02,B03,B04,B08,class
1901,3434,1828,22433,forest
1343,2359,1186,20807,forest
2693,3231,3683,6121,forest
1317,2281,1298,14745,forest
1304,2110,1009,19084,forest
1887,3231,1894,20316,forest
1606,2923,1363,21332,forest
1317,2077,1029,18854,forest
1435,2209,1127,18337,forest
1507,2752,1481,22780,forest
1717,3329,1999,23403,forest
1540,2523,1258,21397,forest
1298,2287,1140,18710,forest
1763,3139,1632,26456,forest
2667,5269,3460,23075,forest
1756,2746,1488,26057,forest
1370,2274,1108,19529,forest
3552,4168,5466,8991,forest
2792,3119,4089,6291,forest
1645,2674,1245,21987,forest
1861,3840,2228,20473,forest
2785,3119,3945,6069,forest
1271,2195,976,16751,forest
1337,1940,1140,16384,forest
1475,3041,1435,23888,forest
1324,2110,1186,18579,forest
2274,2425,2857,5158,forest
2818,3408,4037,6481,forest
2313,4378,2359,23697,forest
1566,2281,1239,19470,forest
1566,2136,1265,18605,forest
2484,4266,3054,21600,forest
1475,2405,1252,20919,forest
2661,4745,3421,21423,forest
1501,2517,1311,21862,forest
1573,3329,1796,21777,forest
1651,2405,1206,20421,forest
1402,2576,1245,22046,forest
1783,2897,1540,21574,forest
1599,3021,1350,31588,forest
1520,2648,1422,22649,forest
1291,2254,1160,23265,forest
1593,2713,1448,23697,forest
1363,2569,1330,19136,forest
1717,2503,1376,20001,forest
1547,2569,1396,24196,forest
1258,1796,911,14949,forest
1298,2359,1127,23514,forest
1461,2458,1167,19936,forest
2097,2425,2864,4496,forest
1651,2988,1560,24431,forest
2825,3749,3244,10728,forest
2438,2582,3421,5551,forest
1455,2222,1173,17039,forest
1422,2438,1271,21443,forest
1442,2654,1317,24097,forest
1245,2084,1042,16620,forest
1396,2241,1160,20919,forest
1461,2811,1147,22649,forest
1409,2281,1199,16023,forest
2490,2739,3500,5518,forest
2674,3342,3696,8388,forest
1783,3513,1553,23409,forest
2621,2962,3775,6055,forest
1402,2543,1363,22177,forest
1442,2005,1016,17852,forest
3473,4011,5046,7635,forest
4404,5872,7733,11665,forest
2366,4129,3106,20657,forest
1940,3788,2241,22931,forest
1376,2222,1226,18632,forest
1193,2005,1088,19326,forest
